case_key,condition,round,target_function,score,predicted_functions,correct,elapsed_seconds,status
f453-cmdinject,weak-skill,1,formWriteFacMac,8.0,formexeCommand;exeCommand;doSystemCmd,DECOY,75.2,completed
f453-cmdinject,weak-skill,2,formWriteFacMac,8.0,formexeCommand;exeCommand;doSystemCmd,DECOY,18.8,completed
f453-overflow,no-skill,1,formWrlsafeset,4.5,doSystemCmd;webs_Tenda_CGI_BIN_Handler,NO,17.7,completed
f453-overflow,no-skill,2,formWrlsafeset,4.5,formWriteFacMac;WriteFacMac;doSystemCmd;system,NO,17.9,completed
f453-overflow,oracle-skill,1,formWrlsafeset,6.0,formWrlsafeset,YES,20.1,completed
f453-overflow,oracle-skill,2,formWrlsafeset,6.0,formWrlsafeset,YES,54.1,completed
f453-overflow,weak-skill,1,formWrlsafeset,2.0,formWriteFacMac;doSystemCmd;formexeCommand,DECOY,19.8,completed
f453-overflow,weak-skill,2,formWrlsafeset,8.0,formWrlsafeset;doSystemCmd,YES,13.3,completed
f453-qossetting-overflow,no-skill,1,fromqossetting,4.5,formexeCommand;doSystemCmd;exeCommand,DECOY,50.0,completed
f453-qossetting-overflow,no-skill,2,fromqossetting,2.0,formexeCommand;doSystemCmd;exeCommand,DECOY,30.0,completed
f453-qossetting-overflow,oracle-skill,1,fromqossetting,4.5,formWrlsafeset;AdvSetWrlsafeset;AdvSet,NO,48.8,completed
f453-qossetting-overflow,oracle-skill,2,fromqossetting,2.0,formWrlsafeset,NO,67.7,completed
f453-qossetting-overflow,weak-skill,1,fromqossetting,2.0,formexeCommand;doSystemCmd;formWrlsafeset,DECOY,44.7,completed
f453-qossetting-overflow,weak-skill,2,fromqossetting,2.0,formexeCommand;doSystemCmd;system,DECOY,65.8,completed
f453-routestatic-overflow,no-skill,1,fromRouteStatic,2.0,formWriteFacMac,NO,92.1,completed
f453-routestatic-overflow,no-skill,2,fromRouteStatic,4.5,formexeCommand;doSystemCmd,DECOY,15.7,completed
f453-routestatic-overflow,oracle-skill,1,fromRouteStatic,6.0,fromRouteStatic,YES,23.5,completed
f453-routestatic-overflow,oracle-skill,2,fromRouteStatic,6.0,fromRouteStatic,YES,65.6,completed
f453-routestatic-overflow,weak-skill,1,fromRouteStatic,4.5,formWriteFacMac;doSystemCmd;getWrlMac,NO,52.1,completed
f453-routestatic-overflow,weak-skill,2,fromRouteStatic,2.0,formexeCommand,DECOY,84.9,completed
f456-cmdinject,no-skill,1,formWriteFacMac,8.0,formexeCommand;doSystemCmd,DECOY,15.6,completed
f456-cmdinject,no-skill,2,formWriteFacMac,8.0,exeCommand;formexeCommand;doSystemCmd,DECOY,29.4,completed
f456-cmdinject,oracle-skill,1,formWriteFacMac,8.0,formexeCommand;doSystemCmd,DECOY,205.8,completed
f456-cmdinject,oracle-skill,2,formWriteFacMac,8.0,formWriteFacMac,YES,85.2,completed
f456-cmdinject,weak-skill,1,formWriteFacMac,8.0,formexeCommand;doSystemCmd,DECOY,86.4,completed
f456-cmdinject,weak-skill,2,formWriteFacMac,6.5,formexeCommand,DECOY,72.5,completed
f9k1122-crossband-overflow,no-skill,1,formCrossBandSwitch,4.5,formSetSystemSettings;system;websGetVar,NO,46.8,completed
f9k1122-crossband-overflow,no-skill,2,formCrossBandSwitch,4.5,system;doSystem;cgi_ssi_igmp_group_memberships;websGetVar,NO,21.9,completed
f9k1122-crossband-overflow,oracle-skill,1,formCrossBandSwitch,8.0,formWISP5G;strcpy,NO,18.7,completed
f9k1122-crossband-overflow,oracle-skill,2,formCrossBandSwitch,4.5,formWISP5G,NO,19.9,completed
f9k1122-crossband-overflow,weak-skill,1,formCrossBandSwitch,4.5,formWISP5G,NO,52.2,completed
f9k1122-crossband-overflow,weak-skill,2,formCrossBandSwitch,4.5,formWISP5G,NO,19.5,completed
f9k1122-overflow,no-skill,1,formWISP5G,2.0,formSetSystemSettings;doSystem;system;websFormDefine,NO,25.6,completed
f9k1122-overflow,no-skill,2,formWISP5G,2.0,formWriteFacMac,NO,93.9,completed
f9k1122-overflow,oracle-skill,1,formWISP5G,8.0,formWISP5G;strcpy,YES,26.6,completed
f9k1122-overflow,oracle-skill,2,formWISP5G,8.0,formWISP5G;strcpy,YES,84.8,completed
f9k1122-overflow,weak-skill,1,formWISP5G,6.0,formWISP5G;formWISP24G,YES,53.4,completed
f9k1122-overflow,weak-skill,2,formWISP5G,6.0,formWISP5G;websGetVar;init_form;websFormDefine,YES,25.2,completed
f9k1122-setpassword-overflow,no-skill,1,formSetPassword,4.5,formWISP5G;formWISP24G,NO,28.7,completed
f9k1122-setpassword-overflow,no-skill,2,formSetPassword,6.0,formSetSystemSettings;system,NO,33.8,completed
f9k1122-setpassword-overflow,oracle-skill,1,formSetPassword,8.0,formWISP5G;strcpy,NO,114.5,completed
f9k1122-setpassword-overflow,oracle-skill,2,formSetPassword,8.0,formWISP5G;strcpy,NO,48.3,completed
f9k1122-setpassword-overflow,weak-skill,1,formSetPassword,4.5,formWISP5G,NO,32.2,completed
f9k1122-setpassword-overflow,weak-skill,2,formSetPassword,4.5,formWISP5G;system,NO,34.2,completed
f9k1122-setsystemsettings-overflow,no-skill,1,formSetSystemSettings,2.0,formWriteFacMac;doSystemCmd,NO,86.5,completed
f9k1122-setsystemsettings-overflow,no-skill,2,formSetSystemSettings,6.0,formSetSystemSettings;system;SetSystemSetting,YES,16.9,completed
f9k1122-setsystemsettings-overflow,oracle-skill,1,formSetSystemSettings,8.0,formWISP5G;strcpy,NO,62.9,completed
f9k1122-setsystemsettings-overflow,oracle-skill,2,formSetSystemSettings,4.5,formWISP5G,NO,120.1,completed
f9k1122-setsystemsettings-overflow,weak-skill,1,formSetSystemSettings,8.0,formWISP5G;strcpy,NO,34.7,completed
f9k1122-setsystemsettings-overflow,weak-skill,2,formSetSystemSettings,2.0,formWISP5G;system;websGetVar,NO,18.2,completed
f9k1122-wlansetup-overflow,no-skill,1,formWlanSetup,4.5,formSetSystemSettings;formSetWanPPPoE;system,NO,36.3,completed
f9k1122-wlansetup-overflow,no-skill,2,formWlanSetup,2.0,formWISP5G;system,NO,119.4,completed
f9k1122-wlansetup-overflow,oracle-skill,1,formWlanSetup,4.5,formWISP5G,NO,107.8,completed
f9k1122-wlansetup-overflow,oracle-skill,2,formWlanSetup,4.5,formWISP5G,NO,47.1,completed
f9k1122-wlansetup-overflow,weak-skill,1,formWlanSetup,2.0,formWISP5G;formWISP24G,NO,36.9,completed
f9k1122-wlansetup-overflow,weak-skill,2,formWlanSetup,4.5,formWISP5G,NO,23.1,completed
fh451-formWrlExtraSet-overflow,no-skill,1,formWrlExtraSet,2.0,doSystemCmd;formexeCommand,DECOY,36.4,completed
fh451-formWrlExtraSet-overflow,no-skill,2,formWrlExtraSet,4.5,formexeCommand;doSystemCmd,DECOY,46.7,completed
fh451-formWrlExtraSet-overflow,oracle-skill,1,formWrlExtraSet,4.5,formWrlsafeset,NO,35.4,completed
fh451-formWrlExtraSet-overflow,oracle-skill,2,formWrlExtraSet,6.0,formWrlExtraSet;wrlExtra,YES,39.2,completed
fh451-formWrlExtraSet-overflow,weak-skill,1,formWrlExtraSet,3.0,formexeCommand;doSystemCmd;exeCommand,DECOY,23.6,completed
fh451-formWrlExtraSet-overflow,weak-skill,2,formWrlExtraSet,3.0,formexeCommand;doSystemCmd;system;GetValue,DECOY,42.0,completed
i12-pathtraversal,no-skill,1,R7WebsSecurityHandler,2.0,formexeCommand;doSystemCmd;system,DECOY,30.1,completed
i12-pathtraversal,no-skill,2,R7WebsSecurityHandler,2.0,formWriteFacMac,NO,44.4,completed
i12-pathtraversal,oracle-skill,1,R7WebsSecurityHandler,5.0,httpd_auth_gatekeeper,NO,82.3,completed
i12-pathtraversal,oracle-skill,2,R7WebsSecurityHandler,5.0,httpd_decode_url;websGetRequestPath;urlAuthCheck;geAuthEntityCheck,NO,29.3,completed
i12-pathtraversal,weak-skill,1,R7WebsSecurityHandler,2.0,formexeCommand;doSystemCmd;exeCommand,DECOY,36.6,completed
i12-pathtraversal,weak-skill,2,R7WebsSecurityHandler,2.0,formexeCommand;doSystemCmd;formSetAutoPing,DECOY,33.1,completed
