case_key,condition,round,target_function,predicted_functions,score,correct
f453-overflow,oracle-skill,2,formWrlsafeset,formWrlsafeset,6.0,YES
f453-overflow,oracle-skill,3,formWrlsafeset,formWrlsafeset,6.0,YES
i12-pathtraversal,no-skill,1,R7WebsSecurityHandler,formexeCommand;doSystemCmd,2.0,DECOY
i12-pathtraversal,no-skill,2,R7WebsSecurityHandler,formexeCommand;doSystemCmd;system,2.0,DECOY
i12-pathtraversal,no-skill,3,R7WebsSecurityHandler,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,2.0,DECOY
i12-pathtraversal,weak-skill,1,R7WebsSecurityHandler,formexeCommand;doSystemCmd;websGetVar,2.0,DECOY
i12-pathtraversal,weak-skill,2,R7WebsSecurityHandler,formexeCommand;doSystemCmd,2.0,DECOY
i12-pathtraversal,weak-skill,3,R7WebsSecurityHandler,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,4.0,DECOY
i12-pathtraversal,oracle-skill,1,R7WebsSecurityHandler,R7WebsSecurityHandler;umGetAccessLimit;umAccessLimitExists,8.0,YES
i12-pathtraversal,oracle-skill,2,R7WebsSecurityHandler,formCheckSession;websSecurityHandler;websValidateUrl,5.0,NO
i12-pathtraversal,oracle-skill,3,R7WebsSecurityHandler,request_authenticate_gatekeeper;httpd_process_request;path_prefix_allow_check,5.0,NO
f9k1122-overflow,no-skill,1,formWISP5G,formSetSystemSettings;system;formReboot,4.5,DECOY
f9k1122-overflow,no-skill,2,formWISP5G,formSetSystemSettings;SetSystemSetting;websGetVar;system,4.5,NO
f9k1122-overflow,no-skill,3,formWISP5G,formSetSystemSettings;SetSystemSetting;system;execl;process_cgi_header;add_cgi_env,2.0,NO
f9k1122-overflow,weak-skill,1,formWISP5G,formWISP5G;strcpy,8.0,YES
f9k1122-overflow,weak-skill,2,formWISP5G,formWISP5G;strcpy,8.0,YES
f9k1122-overflow,weak-skill,3,formWISP5G,formWISP5G,6.0,YES
f9k1122-overflow,oracle-skill,1,formWISP5G,formWISP5G,6.0,YES
f9k1122-overflow,oracle-skill,2,formWISP5G,formWISP5G;formWISP24G,6.0,YES
f9k1122-overflow,oracle-skill,3,formWISP5G,formWISP5G;strcpy,8.0,YES
f453-routestatic-overflow,no-skill,1,fromRouteStatic,formexeCommand;doSystemCmd;exeCommand,4.5,DECOY
f453-routestatic-overflow,no-skill,2,fromRouteStatic,formexeCommand;doSystemCmd;exeCommand,4.5,DECOY
f453-routestatic-overflow,no-skill,3,fromRouteStatic,formexeCommand;doSystemCmd,2.0,DECOY
f453-routestatic-overflow,weak-skill,1,fromRouteStatic,formexeCommand;doSystemCmd;system,2.0,DECOY
f453-routestatic-overflow,weak-skill,2,fromRouteStatic,formexeCommand;doSystemCmd,2.0,DECOY
f453-routestatic-overflow,weak-skill,3,fromRouteStatic,formexeCommand;doSystemCmd,2.0,DECOY
f453-routestatic-overflow,oracle-skill,1,fromRouteStatic,RouteStatic;fromRouteStatic,6.0,YES
f453-routestatic-overflow,oracle-skill,2,fromRouteStatic,formWrlAdvset,4.5,NO
f453-routestatic-overflow,oracle-skill,3,fromRouteStatic,formWrlsafeset,4.5,NO
f453-qossetting-overflow,no-skill,1,fromqossetting,formexeCommand;doSystemCmd,2.0,DECOY
f453-qossetting-overflow,no-skill,2,fromqossetting,formexeCommand;exeCommand;doSystemCmd,2.0,DECOY
f453-qossetting-overflow,no-skill,3,fromqossetting,formexeCommand;doSystemCmd,2.0,DECOY
f453-qossetting-overflow,weak-skill,1,fromqossetting,formWriteFacMac;formWrlsafeset;doSystemCmd,2.0,NO
f453-qossetting-overflow,weak-skill,2,fromqossetting,formexeCommand;doSystemCmd,2.0,DECOY
f453-qossetting-overflow,weak-skill,3,fromqossetting,formexeCommand;doSystemCmd;system,2.0,DECOY
f453-qossetting-overflow,oracle-skill,1,fromqossetting,formWrlsafeset,4.5,NO
f453-qossetting-overflow,oracle-skill,2,fromqossetting,formBulletinBoard,4.5,NO
f453-qossetting-overflow,oracle-skill,3,fromqossetting,formSetIptv,4.5,NO
f9k1122-crossband-overflow,no-skill,1,formCrossBandSwitch,formWanTcpipSetup;system;formSetWanPPPoE,2.0,NO
f9k1122-crossband-overflow,no-skill,2,formCrossBandSwitch,formSetWanPPPoE;system;init_cgi;handleForm;websFormDefine,2.0,NO
f9k1122-crossband-overflow,no-skill,3,formCrossBandSwitch,formSetSystemSettings;netNameScan,2.0,NO
f9k1122-crossband-overflow,weak-skill,1,formCrossBandSwitch,formWISP5G,4.5,NO
f9k1122-crossband-overflow,weak-skill,2,formCrossBandSwitch,formWISP5G;websGetVar;strcpy,6.0,NO
f9k1122-crossband-overflow,weak-skill,3,formCrossBandSwitch,formWISP5G;formWISP24G,2.0,NO
f9k1122-crossband-overflow,oracle-skill,1,formCrossBandSwitch,formWISP5G;strcpy,8.0,NO
f9k1122-crossband-overflow,oracle-skill,2,formCrossBandSwitch,formWISP5G;strcpy,8.0,NO
f9k1122-crossband-overflow,oracle-skill,3,formCrossBandSwitch,formWISP5G,4.5,NO
f1202-cmdinject,no-skill,1,formWriteFacMac,formexeCommand;doSystemCmd,8.0,NO
f1202-cmdinject,no-skill,2,formWriteFacMac,formexeCommand;exeCommand;doSystemCmd,8.0,NO
f1202-cmdinject,no-skill,3,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f1202-cmdinject,weak-skill,1,formWriteFacMac,formWrlsafeset;sprintf,2.0,NO
f1202-cmdinject,weak-skill,2,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f1202-cmdinject,weak-skill,3,formWriteFacMac,formexeCommand;doSystemCmd,8.0,NO
f1202-cmdinject,oracle-skill,1,formWriteFacMac,formWriteFacMac,8.0,YES
f1202-cmdinject,oracle-skill,2,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f1202-cmdinject,oracle-skill,3,formWriteFacMac,formWriteFacMac,8.0,YES
f1202-credential-overflow,no-skill,1,fromAdvSetWan,formWriteFacMac;doSystemCmd,2.0,NO
f1202-credential-overflow,no-skill,2,fromAdvSetWan,formexeCommand;doSystemCmd,2.0,NO
f1202-credential-overflow,no-skill,3,fromAdvSetWan,formexeCommand;exeCommand;websGetVar,4.0,NO
f1202-credential-overflow,weak-skill,1,fromAdvSetWan,formexeCommand;doSystemCmd,2.0,NO
f1202-credential-overflow,weak-skill,2,fromAdvSetWan,formexeCommand;exeCommand;doSystemCmd,4.0,NO
f1202-credential-overflow,weak-skill,3,fromAdvSetWan,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,2.0,NO
f1202-credential-overflow,oracle-skill,1,fromAdvSetWan,formDefinePwd;decodePwd,8.0,NO
f1202-credential-overflow,oracle-skill,2,fromAdvSetWan,getwebuserpwd;decodePwd,8.0,NO
f1202-credential-overflow,oracle-skill,3,fromAdvSetWan,decodePwd;formWrlwpsset;getwebuserpwd,8.0,NO
fh451-formWrlExtraSet-overflow,no-skill,1,formWrlExtraSet,formWriteFacMac;doSystemCmd;system,3.0,NO
fh451-formWrlExtraSet-overflow,no-skill,2,formWrlExtraSet,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,3.0,DECOY
fh451-formWrlExtraSet-overflow,no-skill,3,formWrlExtraSet,formexeCommand;exeCommand;doSystemCmd,3.0,DECOY
fh451-formWrlExtraSet-overflow,weak-skill,1,formWrlExtraSet,formexeCommand;doSystemCmd,3.0,DECOY
fh451-formWrlExtraSet-overflow,weak-skill,2,formWrlExtraSet,formWriteFacMac;doSystemCmd,3.0,NO
fh451-formWrlExtraSet-overflow,weak-skill,3,formWrlExtraSet,formexeCommand;doSystemCmd;exeCommand,3.0,DECOY
fh451-formWrlExtraSet-overflow,oracle-skill,1,formWrlExtraSet,formWrlExtraSet,6.0,YES
fh451-formWrlExtraSet-overflow,oracle-skill,2,formWrlExtraSet,formWrlsafeset,4.5,NO
fh451-formWrlExtraSet-overflow,oracle-skill,3,formWrlExtraSet,formWrlExtraSet,6.0,YES
fh451-WrlclientSet-overflow,no-skill,1,WrlclientSet,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,3.0,DECOY
fh451-WrlclientSet-overflow,no-skill,2,WrlclientSet,formexeCommand;doSystemCmd;doSystem,2.0,DECOY
fh451-WrlclientSet-overflow,no-skill,3,WrlclientSet,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,3.0,DECOY
fh451-WrlclientSet-overflow,weak-skill,1,WrlclientSet,formexeCommand;doSystemCmd,3.0,DECOY
fh451-WrlclientSet-overflow,weak-skill,2,WrlclientSet,formWriteFacMac;doSystemCmd;formexeCommand,3.0,DECOY
fh451-WrlclientSet-overflow,weak-skill,3,WrlclientSet,formexeCommand;doSystemCmd;cmdinput,3.0,DECOY
fh451-WrlclientSet-overflow,oracle-skill,1,WrlclientSet,formWrlsafeset,4.5,NO
fh451-WrlclientSet-overflow,oracle-skill,2,WrlclientSet,formWrlsafeset,4.5,NO
fh451-WrlclientSet-overflow,oracle-skill,3,WrlclientSet,formWrlsafeset,4.5,NO
fh451-fromSetCfm-overflow,no-skill,1,fromSetCfm,formexeCommand;doSystemCmd;exeCommand,3.0,DECOY
fh451-fromSetCfm-overflow,no-skill,2,fromSetCfm,formexeCommand;exeCommand;doSystemCmd,4.5,DECOY
fh451-fromSetCfm-overflow,no-skill,3,fromSetCfm,formexeCommand;doSystemCmd;exeCommand;webs_Tenda_CGI_BIN_Handler,3.0,DECOY
fh451-fromSetCfm-overflow,weak-skill,1,fromSetCfm,formexeCommand;doSystemCmd;exeCommand,3.0,DECOY
fh451-fromSetCfm-overflow,weak-skill,2,fromSetCfm,formWrlsafeset,4.5,NO
fh451-fromSetCfm-overflow,weak-skill,3,fromSetCfm,formWriteFacMac;doSystemCmd,3.0,NO
fh451-fromSetCfm-overflow,oracle-skill,1,fromSetCfm,formSetCfm,4.5,NO
fh451-fromSetCfm-overflow,oracle-skill,2,fromSetCfm,formWrlsafeset;sprintf,6.0,NO
fh451-fromSetCfm-overflow,oracle-skill,3,fromSetCfm,formWrlBasicSet,4.5,NO
fh451-fromAdvSetWan-overflow,no-skill,1,fromAdvSetWan,formSetSystemSettings;exeCommand;system,3.0,NO
fh451-fromAdvSetWan-overflow,no-skill,2,fromAdvSetWan,AdvSetWrlsafeset;formWrlsafeset,4.5,NO
fh451-fromAdvSetWan-overflow,no-skill,3,fromAdvSetWan,formexeCommand;doSystemCmd,3.0,DECOY
fh451-fromAdvSetWan-overflow,weak-skill,1,fromAdvSetWan,formexeCommand;doSystemCmd;exeCommand,3.0,DECOY
fh451-fromAdvSetWan-overflow,weak-skill,2,fromAdvSetWan,doSystemCmd;formexeCommand;exeCommand,3.0,DECOY
fh451-fromAdvSetWan-overflow,weak-skill,3,fromAdvSetWan,formexeCommand;doSystemCmd,3.0,DECOY
fh451-fromAdvSetWan-overflow,oracle-skill,1,fromAdvSetWan,fromAdvSetWan;AdvSetWan;fromWanSetWan;WanSetWan,6.0,YES
fh451-fromAdvSetWan-overflow,oracle-skill,2,fromAdvSetWan,formWanSetWan;WanSetWan,4.5,NO
fh451-fromAdvSetWan-overflow,oracle-skill,3,fromAdvSetWan,fromWanSetWan;WanSetWan,4.5,NO
fh451-formQuickIndex-overflow,no-skill,1,formQuickIndex,formexeCommand;exeCommand;doSystemCmd,4.5,DECOY
fh451-formQuickIndex-overflow,no-skill,2,formQuickIndex,wireless_apclient_scan;do_scan;scanf_ap_list;wlwdsScanAP,3.0,NO
fh451-formQuickIndex-overflow,no-skill,3,formQuickIndex,formexeCommand;doSystemCmd,4.5,DECOY
fh451-formQuickIndex-overflow,weak-skill,1,formQuickIndex,formexeCommand;doSystemCmd;exeCommand,3.0,DECOY
fh451-formQuickIndex-overflow,weak-skill,2,formQuickIndex,AdvSetWrlsafeset;formWrlsafeset;doSystemCmd,3.0,NO
fh451-formQuickIndex-overflow,weak-skill,3,formQuickIndex,formWriteFacMac;doSystemCmd,3.0,NO
fh451-formQuickIndex-overflow,oracle-skill,1,formQuickIndex,formQuickIndex,6.0,YES
fh451-formQuickIndex-overflow,oracle-skill,2,formQuickIndex,formQuickIndex;QuickIndexWanLink;fromQuickIndexWanLink,6.0,YES
fh451-formQuickIndex-overflow,oracle-skill,3,formQuickIndex,formQuickIndex,6.0,YES
